percent,avg_brute_force_time,avg_chunking_time,avg_optimized_brute_force_time0,0.004629114,0,0
5,0.004947968,0.001598964,0.002037787,,,
10,0.007114336,0.003724425,0.002723625,,,
15,0.005894063,0.004691291,0.004600875,,,
20,0.00630667,0.005730586,0.007058375,,,
25,0.007026215,0.006491392,0.009005787,,,
30,0.005686142,0.008477571,0.010236745,,,
35,0.005043328,0.010595725,0.013346629,,,
40,0.005883007,0.01026794,0.010634973,,,
45,0.006289718,0.011713734,0.014550624,,,
50,0.007239096,0.01323962,0.016688197,,,
55,0.006900859,0.01383342,0.019456847,,,
60,0.008965807,0.016317923,0.021793134,,,
65,0.008277731,0.016311085,0.024077373,,,
70,0.008494487,0.018875694,0.026956329,,,
75,0.006751504,0.018045018,0.025105944,,,
80,0.007067676,0.019872949,0.026479678,,,
85,0.008277981,0.019344132,0.027172115,,,
90,0.006676605,0.020808282,0.02666455,,,
95,0.006568942,0.021506541,0.027217252,,,
100,0.005728524,0.022228327,0.027536197,,,
